## Page 1 (FAST)

This looks like a document page.

## Visible Text (verbatim)
United States v. Ghislaine Maxwell
20 Cr. 330 (AJN)
Testifying Witness 3500 Material
11/6/2021

3502
Date	Description	Attorney	Produced to Defense
3502-001	2021.02.01	Notes from phone call	2021.04.23
3502-002	2021.02.01	Testimony disclosure	2021.04.23
3502-003	2021.03.03	Notes from phone call	2021.04.23
3502-004	2021.04.09	Interview notes	2021.04.23
3502-005	2021.04.21	Interview notes	2021.04.23
3502-006	Resume	2021.04.23
3502-007	Contract for services	2021.04.23
3502-008	2021.10.21	Notes	2021.10.25
3502-009	2021.10.24	Notes	2021.10.25
3502-010	2006	Article	2021.10.25
3502-011	2009	Article	2021.10.25
3502-012	2010	Article	2021.10.25
3502-013	2014	Article	2021.10.25
3502-014	2015	Article	2021.10.25
3502-015	2015	Article	2021.10.25
3502-016	2015	Article	2021.10.25
3502-017	2016	Article	2021.10.25
3502-018	2017	Article	2021.10.25
3502-019	2018	Article	2021.10.25
3502-020	2019	Article	2021.10.25
3502-021	2019	Article	2021.10.25
3502-022	2020	Article	2021.10.25
3502-023	2021	Article	2021.10.25
3502-024	2021	Article	2021.10.25
3502-025	2021.10.25	Notes	2021.10.25
3502-026	2020	Article	2021.11.06
3502-027	2020	Article	2021.11.06
3502-028	2021.10.29	Notes	2021.11.06
3502-029	2021.10.31	Notes	2021.11.06
3502-030	2021.11.01	Notes	2021.11.06
3502-031	2021.11.02	Notes	2021.11.06
3502-032	2009	Article	2021.11.06
3502-033	2020	Article	2021.11.06
3502-034	2021	Article	2021.11.06
3502-035	2021.11.03	Notes	2021.11.06
3502-036	2021.11.04	Notes	2021.11.06

3503
Steve Flatley
Date	Description	Attorney	Produced to Defense
3503-001		Curriculum vitae	2021.09.15
3503-002		31E-NY-3027571	2021.10.11
3503-003	2021.08.25	Notes	2021.10.11
3503-004	2019.08.09	Email	2021.10.11
3503-005	2019.08.20	Email	2021.10.11
3503-006	2019.08.23	Email	2021.10.11
3503-007	2019.09.04	Email	2021.10.11
3503-008	2019.09.09	Email	2021.10.11
3503-009	2019.09.30	Email	2021.10.11
3503-010	2019.10.21	Email	2021.10.11
3503-011	2019.11.12	Email	2021.10.11
3503-012	2020.02.10	Email	2021.10.11
3503-013	2020.03.02	Email	2021.10.11
3503-014	2020.03.03	Email	2021.10.11
3503-015	2020.03.04	Email	2021.10.11
3503-016		Attachment to email	2021.10.11
3503-017	2020.03.18	Email	2021.10.11
3503-018	2020.03.31	Email	2021.10.11
3503-019	2020.04.07	Email	2021.10.11
3503-020	2020.05.12	Email	2021.10.11
3503-021	2020.05.14	Email	2021.10.11
3503-022		Attachment to email	2021.10.11
3503-023	2020.05.29	Email	2021.10.11
3503-024		Attachment to email	2021.10.11
3503-025	2020.06.17	Email	2021.10.11
3503-026	2020.06.17	Email	2021.10.11
3503-027	2020.06.19	Email	2021.10.11
3503-028	2020.06.19	Email	2021.10.11
3503-029	2020.06.20	Email	2021.10.11
3503-030	2020.06.23	Email	2021.10.11
3503-031		Attachment to email	2021.10.11
3503-032	2020.07.07	Email	2021.10.11
3503-033	2020.07.07	Email	2021.10.11
3503-034	2020.07.13	Email	2021.10.11
3503-035	2020.07.13	Email	2021.10.11
3503-036		Attachment to email	2021.10.11
3503-037	2020.07.13	Email	2021.10.11

SUBJECT TO PROTECTIVE ORDER PARAGRAPHS 7, 8, 9, 10, 15, and 17
1
EFTA00021968

## Page 2 (FAST)

## Visible Text (verbatim)
3503-038	2020.07.13	Attachment to email	2021.10.11
3503-039	2020.07.13	Email	2021.10.11
3503-040	2020.07.14	Attachment to email	2021.10.11
3503-041	2020.07.14	Email	2021.10.11
3503-042	2020.07.14	Email	2021.10.11
3503-043	2020.07.14	Email	2021.10.11
3503-044	2020.07.14	Email	2021.10.11
3503-045	2020.07.15	Email	2021.10.11
3503-046	2020.07.15	Email	2021.10.11
3503-047	2020.07.20	Email	2021.10.11
3503-048	2020.07.20	Attachment to email	2021.10.11
3503-049	2020.07.20	Email	2021.10.11
3503-050	2020.07.21	Email	2021.10.11
3503-051	2020.07.22	Email	2021.10.11
3503-052	2020.07.23	Email	2021.10.11
3503-053	2020.07.23	Attachment to email	2021.10.11
3503-054	2020.07.23	Email	2021.10.11
3503-055	2020.07.23	Attachment to email	2021.10.11
3503-056	2020.07.24	Email	2021.10.11
3503-057	2020.07.24	Attachment to email	2021.10.11
3503-058	2020.07.24	Email	2021.10.11
3503-059	2020.07.26	Email	2021.10.11
3503-060	2020.07.27	Email	2021.10.11
3503-061	2020.07.27	Email	2021.10.11
3503-062	2020.07.27	Email	2021.10.11
3503-063	2020.07.28	Email	2021.10.11
3503-064	2020.07.28	Email	2021.10.11
3503-065	2020.08.03	Email	2021.10.11
3503-066	2020.08.04	Email	2021.10.11
3503-067	2020.08.04	Attachment to email	2021.10.11
